語句,語句の意味,URL
品質特性,ソフトウェアの品質を評価する基準のこと。ISO/IEC 9126(JIS X 0129)において、機能性，信頼性，使用性，効率性，保守性，移植性の6つの特性と、それぞれの品質特性をさらに細分化した21の副特性が定められている。各品質特性の意味については以下の通り。機能性(Functionality)目的から求められる必要な機能の実装の度合い信頼性(Reliability)機能が正常動作し続ける度合い，障害の起こりにくさの度合い使用性（Usability）分かりやすさ、使いやすさの度合い効率性(Efficiency)目的達成のために使用する時間や資源の度合い保守性(Maintainability)保守(改訂)作業に必要な労力の度合い移植性（Portability）移植のしやすさ，別の環境へ移した際そのまま動作する度合い,https://www.itpassportsiken.com/word/品質特性.html
外部設計,システム開発において、ユーザからの要求をもとにシステムの機能を確定する設計工程。ユーザの立場からみた業務機能を中心に設計を行うことが目的で、サブシステムの定義と機能分割、論理データモデル設計、画面・帳票・コードの設計などが実施される。,https://www.itpassportsiken.com/word/外部設計.html
内部設計,システム開発において、外部設計の要件を「コンピュータまたはシステム上でいかに効率よく動作させるか」というシステム開発側の視点で設計を行う工程。内部設計では以下の作業等が実施される。外部設計で作成した機能をプログラム単位に分割する外部設計で作成した論理データを具体的なファイル・データベースへ変換する外部設計で作成した画面・帳票の形式的な設計を基に、出力条件やチェック条件を詳細化する内部処理手順を詳細化する,https://www.itpassportsiken.com/word/内部設計.html
コーディング,システム／ソフトウェア開発工程において、使用するプログラム言語の文法やコーディング規約に従い、目的処理のためのソースコードを作成する工程のこと。,https://www.itpassportsiken.com/word/コーディング.html
コンパイラ,ソースコードを翻訳して、機械語の目的プログラム(実行ファイル／ロードモジュール)を生成する言語プロセッサ。,https://www.itpassportsiken.com/word/コンパイラ.html
ホワイトボックステスト,プログラムやモジュールの単体テストとして実施されるテスト手法で、内部構造に基づき仕様書どおりに動作するかを検証するために実施される。内部構造が明らかな状態でテストを行うことからホワイトボックステストと呼ばれている。,https://www.itpassportsiken.com/word/ホワイトボックステスト.html
デバッグ,プログラムのミスや欠陥をチェックして、修正する作業のこと。プログラムの欠陥をバグ(bug＝虫)という。,https://www.itpassportsiken.com/word/デバッグ.html
コードレビュー,ソフトウェア開発の工程の1つで、見過ごされた誤りを検出・修正するためにソースコードの体系的な検査を行うこと。ソフトウェア品質を高めると同時に要員の開発スキルの向上を図ることができる。ソースコードが正しく作成されているかどうかを検証するためにテストを行うが、その前にソースコードをコードレビューしてブラッシュアップすることにより、問題の何割かを事前に除去しておくことができる。,https://www.itpassportsiken.com/word/コードレビュー.html
単体テスト,プログラムがモジュール単位で正常に動作するかを確かめるテスト工程。ソースコードの作成者がプログラムの内部設計書に基づいてホワイトボックステストを実施し、要求性能を満たしているかを確認する。,https://www.itpassportsiken.com/word/単体テスト.html
結合テスト,単体テストが完了した2つ以上のモジュールを組み合わせて動作させることで、モジュール間のインターフェースに関するエラーを検出することを目的としたテスト工程。テスト手法には、ボトムアップテスト、トップダウンテスト、ビッグバンテストなどがある。,https://www.itpassportsiken.com/word/結合テスト.html
システムテスト,システムとしての要件が満たされているか検証するために行われるテストで、システム要件定義で定められた機能や能力がすべて備わっているかを確認する工程。機能テスト、性能テスト、サブシステム間の結合テスト、操作性テストなどに加えてシステムの耐障害性や安全性を確認するために、負荷テストや耐久テスト、例外テストなども含めた総合的なテストが実施される。,https://www.itpassportsiken.com/word/システムテスト.html
運用テスト,開発が完了したシステムを、運用部門が業務の流れに沿って検証し、実際の稼働状況において不具合が発生しないかどうかを検証するために実施されるテスト。運用テストは原則的に運用部門の主導で実施され、システム部門はそれを補助する役割を担う。,https://www.itpassportsiken.com/word/運用テスト.html
